salary,car,label
4167,1386,reasonable consumption
4746,7457,overspending
4767,3657,overspending
4310,2316,general
3854,7603,overspending
4466,4528,overspending
4838,4200,overspending
4988,1201,reasonable consumption
4575,5543,overspending
5367,5448,overspending
3596,3446,overspending
4214,7453,overspending
3641,1694,reasonable consumption
3777,7956,overspending
4166,1660,reasonable consumption
4053,5501,overspending
4883,6278,overspending
3789,4480,overspending
3544,7326,overspending
3671,5795,overspending
4153,3560,overspending
5053,6574,overspending
4983,5469,overspending
4663,7024,overspending
4853,4661,overspending
4529,4182,overspending
3990,2038,general
4465,5340,overspending
4810,1954,reasonable consumption
4326,7269,overspending
4363,1242,reasonable consumption
4749,1439,reasonable consumption
3566,2002,general
4826,7924,overspending
4909,2656,general
5471,7294,overspending
5086,6008,overspending
4486,4475,overspending
5157,2741,general
4845,3839,overspending
4038,4899,overspending
4067,6278,overspending
4356,3872,overspending
5409,4055,overspending
4176,5301,overspending
3706,3138,overspending
4522,6924,overspending
4668,5023,overspending
4839,7308,overspending
4007,6253,overspending
3816,2824,overspending
4915,4248,overspending
4445,4782,overspending
4664,3375,overspending
3909,5822,overspending
5347,6519,overspending
4508,5665,overspending
5298,1964,reasonable consumption
3628,1615,reasonable consumption
5045,3012,general
4316,3233,overspending
3879,6894,overspending
5154,6434,overspending
4401,5540,overspending
4311,2908,general
4164,5231,overspending
3752,3485,overspending
4398,6055,overspending
5300,4758,overspending
3570,6288,overspending
4430,1935,reasonable consumption
4197,5202,overspending
4981,6288,overspending
4810,6818,overspending
5129,5417,overspending
4726,3337,overspending
4052,2957,overspending
4444,2940,general
5322,1329,reasonable consumption
3712,4282,overspending
5239,1777,reasonable consumption
5002,4805,overspending
3865,2874,overspending
4458,2971,general
3501,6757,overspending
4465,4184,overspending
3669,5095,overspending
3517,6208,overspending
4385,2475,general
4136,7979,overspending
3846,7356,overspending
3822,4073,overspending
4867,7656,overspending
3990,6699,overspending
4487,4170,overspending
4873,3636,overspending
4464,4804,overspending
4879,7577,overspending
5327,7373,overspending
5399,4248,overspending
4951,3388,general
4069,7549,overspending
4409,5582,overspending
4646,3105,general
4631,5393,overspending
5320,6840,overspending
4475,1772,reasonable consumption
4718,7519,overspending
5264,6170,overspending
4326,2889,general
5480,4136,overspending
3953,5812,overspending
5274,4371,overspending
4464,4263,overspending
4413,2708,general
4021,3616,overspending
3898,3740,overspending
5455,3964,overspending
3917,5684,overspending
5021,5292,overspending
3919,2773,overspending
5226,3302,general
4847,4277,overspending
4589,1275,reasonable consumption
3939,5818,overspending
3808,3659,overspending
4663,1530,reasonable consumption
4135,7023,overspending
4520,1612,reasonable consumption
4345,7046,overspending
4639,3162,general
3661,5999,overspending
5301,1363,reasonable consumption
4174,2267,general
5107,2364,reasonable consumption
5124,4364,overspending
5333,2354,reasonable consumption
4099,2098,general
5074,4511,overspending
3958,4561,overspending
5358,2790,general
4349,7024,overspending
4552,2439,general
4305,2304,general
3946,7514,overspending
4478,3980,overspending
5109,4696,overspending
4912,3528,overspending
3889,7118,overspending
4090,6085,overspending
3707,4768,overspending
3828,6262,overspending
5359,5747,overspending
3535,7965,overspending
3973,1235,reasonable consumption
5462,1818,reasonable consumption
4967,4735,overspending
4372,5002,overspending
4451,5325,overspending
3834,7155,overspending
5266,2277,reasonable consumption
4285,6024,overspending
4246,7198,overspending
3600,6002,overspending
5232,4760,overspending
4910,5028,overspending
5055,6834,overspending
5015,5020,overspending
4506,3053,general
4840,7085,overspending
4542,4170,overspending
3854,6081,overspending
3590,5107,overspending
4302,4729,overspending
3999,4336,overspending
4796,6772,overspending
3516,7968,overspending
4582,7270,overspending
5232,1472,reasonable consumption
5476,5783,overspending
4494,7037,overspending
4722,4318,overspending
5433,7077,overspending
4632,5868,overspending
4219,3361,overspending
4190,7526,overspending
5185,1269,reasonable consumption
5237,1411,reasonable consumption
5457,3653,general
4950,3922,overspending
5252,7892,overspending
5338,1313,reasonable consumption
5441,1823,reasonable consumption
3837,1489,reasonable consumption
3668,5213,overspending
4556,6321,overspending
5304,5061,overspending
5048,4685,overspending
5064,6444,overspending
4582,2051,reasonable consumption
4009,6770,overspending
5251,1840,reasonable consumption
5257,5708,overspending
3860,3462,overspending
4337,4979,overspending
4662,4629,overspending
4487,3818,overspending
4674,3692,overspending
4946,5304,overspending
3862,2001,general
4935,2602,general
5420,5267,overspending
4366,6583,overspending
4468,2376,general
5312,6027,overspending
5442,2856,general
4998,6940,overspending
4902,1242,reasonable consumption
5438,7314,overspending
4900,7732,overspending
5172,2396,reasonable consumption
4328,1932,reasonable consumption
5400,5844,overspending
4322,6233,overspending
4034,6697,overspending
3938,5640,overspending
4940,5954,overspending
5398,7295,overspending
5223,6251,overspending
4955,2250,reasonable consumption
5035,7510,overspending
4183,4625,overspending
4522,1833,reasonable consumption
4229,7402,overspending
4136,5206,overspending
5032,3988,overspending
3746,1568,reasonable consumption
3780,5622,overspending
4270,5075,overspending
4675,4848,overspending
5295,7283,overspending
4097,6024,overspending
5179,2704,general
4257,5226,overspending
4710,5606,overspending
3855,5858,overspending
4491,1289,reasonable consumption
5349,4887,overspending
3898,3899,overspending
4122,3964,overspending
3757,1768,reasonable consumption
5458,1979,reasonable consumption
4129,1585,reasonable consumption
5018,4733,overspending
4121,6225,overspending
4823,1899,reasonable consumption
3569,5040,overspending
4116,6574,overspending
4680,3863,overspending
5027,7883,overspending
4731,1933,reasonable consumption
3922,7766,overspending
3614,1839,general
5429,7702,overspending
4623,3951,overspending
3813,4001,overspending
4799,4933,overspending
4497,2734,general
4160,5086,overspending
4797,1547,reasonable consumption
5294,1732,reasonable consumption
3707,7884,overspending
3887,4828,overspending
4766,3096,general
4515,4535,overspending
4983,6823,overspending
4292,5845,overspending
3944,1275,reasonable consumption
4327,3617,overspending
5000,6843,overspending
4676,6000,overspending
5007,7033,overspending
4161,1242,reasonable consumption
5154,6220,overspending
4039,6272,overspending
5076,1994,reasonable consumption
4203,1787,reasonable consumption
4372,6786,overspending
3970,6598,overspending
4129,7387,overspending
5257,2370,reasonable consumption
4941,6275,overspending
3584,2228,general
4143,5135,overspending
4782,3005,general
5060,5674,overspending
5311,2207,reasonable consumption
3815,4575,overspending
4929,3916,overspending
4297,7241,overspending
4518,6722,overspending
5165,2316,reasonable consumption
4302,1331,reasonable consumption
3611,7271,overspending
5060,3246,general
3649,7739,overspending
3698,4379,overspending
3572,5328,overspending
4140,6806,overspending
4384,2570,general
4773,7651,overspending
4638,5541,overspending
4415,3544,overspending
4426,7135,overspending
5465,1788,reasonable consumption
4689,1403,reasonable consumption
4080,2824,general
4571,3138,general
4829,4285,overspending
3851,2866,overspending
3577,4275,overspending
3521,7452,overspending
5248,3399,general
3647,4677,overspending
4814,4470,overspending
4113,7034,overspending
5440,4318,overspending
4432,3272,overspending
5286,4841,overspending
4778,4894,overspending
3704,5245,overspending
3843,5265,overspending
4747,2520,general
4901,5734,overspending
4019,5934,overspending
5443,7400,overspending
4210,5380,overspending
4505,1981,reasonable consumption
3604,2928,overspending
4029,1483,reasonable consumption
4694,5083,overspending
4072,3969,overspending
4064,6462,overspending
4541,7974,overspending
5283,4143,overspending
5461,3563,general
5284,4040,overspending
4872,4834,overspending
4561,4496,overspending
4275,1730,reasonable consumption
5454,1611,reasonable consumption
4875,5364,overspending
4974,2545,general
5314,1592,reasonable consumption
3582,5177,overspending
4465,4069,overspending
5331,5634,overspending
3831,7085,overspending
3718,2280,general
3692,1561,reasonable consumption
3715,4680,overspending
3926,7794,overspending
4813,6737,overspending
4206,4407,overspending
4623,2188,reasonable consumption
5029,7004,overspending
4321,7247,overspending
4044,2532,general
4262,7750,overspending
4629,4939,overspending
4017,6849,overspending
3899,6619,overspending
3817,7247,overspending
5174,3421,general
3968,7555,overspending
4192,4334,overspending
5374,7749,overspending
4114,4699,overspending
4704,5022,overspending
5006,4313,overspending
3634,7493,overspending
4482,7079,overspending
4418,2728,general
4163,4229,overspending
5225,5043,overspending
5231,6304,overspending
4188,7292,overspending
5013,4791,overspending
4394,6648,overspending
4018,4864,overspending
4772,7523,overspending
4139,4230,overspending
3973,7486,overspending
5027,1794,reasonable consumption
4626,7620,overspending
4241,2292,general
5406,6454,overspending
4499,7226,overspending
4564,5812,overspending
3705,5904,overspending
4029,7820,overspending
3502,3376,overspending
5479,2469,reasonable consumption
5399,6128,overspending
3553,6833,overspending
4092,1671,reasonable consumption
4371,6997,overspending
3632,2140,general
4410,7632,overspending
4368,5891,overspending
3503,6842,overspending
5278,5799,overspending
4093,5815,overspending
4554,4046,overspending
4571,1538,reasonable consumption
5243,3336,general
4714,7541,overspending
5170,1272,reasonable consumption
4865,5621,overspending
5284,4405,overspending
4929,5414,overspending
3837,7570,overspending
3909,1576,reasonable consumption
5083,2748,general
3813,3938,overspending
4424,3218,overspending
4557,7429,overspending
5174,3428,general
3744,7899,overspending
5401,7537,overspending
4671,1216,reasonable consumption
4019,2716,general
4824,7120,overspending
4157,3159,overspending
4863,1702,reasonable consumption
4715,3453,overspending
4174,2340,general
5239,3356,general
4241,7038,overspending
4567,6511,overspending
5281,6341,overspending
3912,7163,overspending
3780,5607,overspending
4648,7208,overspending
5080,4165,overspending
5084,6230,overspending
4830,5473,overspending
5444,2414,reasonable consumption
5473,1212,reasonable consumption
5392,3343,general
4706,7133,overspending
3766,4267,overspending
4931,3780,overspending
5187,4401,overspending
3590,3480,overspending
4244,7879,overspending
3681,1769,reasonable consumption
4735,6579,overspending
4246,5222,overspending
4749,4295,overspending
5429,4606,overspending
3734,4131,overspending
3591,1264,reasonable consumption
3764,6233,overspending
4457,4057,overspending
5343,4512,overspending
3521,7805,overspending
4458,2675,general
4883,2234,reasonable consumption
5059,3268,general
3964,6339,overspending
4812,3884,overspending
3882,3326,overspending
4877,2875,general
3850,1471,reasonable consumption
3676,4082,overspending
4263,6103,overspending
4869,2381,reasonable consumption
5215,3647,general
3752,6170,overspending
3579,3561,overspending
4814,3117,general
4076,4727,overspending
3556,4918,overspending
5395,2195,reasonable consumption
4422,4933,overspending
3801,4090,overspending
4393,4000,overspending
3793,7846,overspending
5334,2300,reasonable consumption
3596,4722,overspending
4102,4135,overspending
5221,2105,reasonable consumption
3659,1639,reasonable consumption
5488,7906,overspending
3838,1528,reasonable consumption
4605,2563,general
4705,6788,overspending
5373,3610,general
5494,3614,general
4081,2471,general
4804,5764,overspending
4312,7278,overspending
3673,6039,overspending
5156,7862,overspending
5447,4251,overspending
4367,6526,overspending
4309,3548,overspending
5123,4083,overspending
5133,7117,overspending
4967,5532,overspending
5114,2801,general
4381,3308,overspending
4263,5002,overspending
4219,4842,overspending
4729,6581,overspending
4314,7906,overspending
5098,6719,overspending
5100,6279,overspending
4671,1832,reasonable consumption
4400,2612,general
4271,1320,reasonable consumption
3888,3220,overspending
4841,2125,reasonable consumption
4342,1440,reasonable consumption
3967,6840,overspending
5259,7953,overspending
4153,5268,overspending
4691,2324,reasonable consumption
3545,6922,overspending
3674,7971,overspending
5362,4470,overspending
4060,4131,overspending
4244,4083,overspending
4419,4077,overspending
5322,5560,overspending
5349,3810,overspending
4173,2248,general
3515,3659,overspending
3797,1959,general
4557,1682,reasonable consumption
4215,7185,overspending
3661,5927,overspending
3680,7186,overspending
3777,6630,overspending
5244,3047,general
4164,2765,general
4527,6662,overspending
3523,7603,overspending
4198,6817,overspending
4737,2245,reasonable consumption
4133,4461,overspending
4127,1913,reasonable consumption
4707,6881,overspending
3710,7107,overspending
3585,7676,overspending
5397,7908,overspending
3618,7209,overspending
5343,2256,reasonable consumption
5338,7276,overspending
4835,3993,overspending
5186,3799,overspending
5349,2641,reasonable consumption
4158,6177,overspending
4160,6534,overspending
3839,7504,overspending
4854,7231,overspending
5025,2971,general
3563,3643,overspending
5217,4951,overspending
4502,4396,overspending
5296,6591,overspending
4555,3573,overspending
3774,5320,overspending
3958,5589,overspending
4199,1922,reasonable consumption
5435,5184,overspending
3742,6723,overspending
4691,5837,overspending
3755,6883,overspending
5168,7114,overspending
3841,1258,reasonable consumption
4109,5417,overspending
4351,4376,overspending
4390,5497,overspending
4991,3766,overspending
4461,6949,overspending
3844,2335,general
4826,7400,overspending
4690,5436,overspending
4893,2445,reasonable consumption
5124,5225,overspending
4703,2216,reasonable consumption
4914,5764,overspending
4533,3323,overspending
3998,1981,reasonable consumption
4251,2505,general
3960,6532,overspending
5298,1767,reasonable consumption
3817,1244,reasonable consumption
3690,3240,overspending
4919,2388,reasonable consumption
4844,5176,overspending
4934,6119,overspending
4984,3231,general
5006,5503,overspending
4682,3596,overspending
5009,6789,overspending
4557,2696,general
5190,1511,reasonable consumption
3644,4842,overspending
4635,3319,overspending
4286,3311,overspending
4450,4311,overspending
5459,4818,overspending
5297,1511,reasonable consumption
4937,5283,overspending
5220,7950,overspending
4115,5015,overspending
4772,3749,overspending
4105,7104,overspending
4440,3890,overspending
4051,1731,reasonable consumption
4998,3794,overspending
4790,5398,overspending
4313,4496,overspending
3880,6445,overspending
5119,2492,reasonable consumption
4346,4968,overspending
4653,3412,overspending
4675,7127,overspending
5499,3867,overspending
4154,1248,reasonable consumption
3549,4710,overspending
4018,6701,overspending
3719,3735,overspending
4102,2121,general
3755,1880,general
3751,6999,overspending
4087,7089,overspending
3593,1836,general
4003,2161,general
4678,7339,overspending
4056,7157,overspending
5309,6738,overspending
4463,7034,overspending
5464,5487,overspending
5343,4566,overspending
4619,4632,overspending
3645,1537,reasonable consumption
4082,3223,overspending
4523,5827,overspending
3777,4177,overspending
4359,7321,overspending
3916,6069,overspending
3572,1348,reasonable consumption
5197,6827,overspending
4238,2676,general
5347,1752,reasonable consumption
4577,5605,overspending
4125,2222,general
3718,7997,overspending
4873,4892,overspending
3653,6559,overspending
3814,4865,overspending
3737,3288,overspending
5097,4577,overspending
3836,7831,overspending
3699,5947,overspending
5490,4763,overspending
5389,6811,overspending
5480,5789,overspending
4962,6882,overspending
4820,3870,overspending
5130,1397,reasonable consumption
4316,6621,overspending
5499,6082,overspending
4269,2065,reasonable consumption
4861,1733,reasonable consumption
4254,7796,overspending
4798,7897,overspending
4274,7468,overspending
5216,7372,overspending
3512,6157,overspending
5243,4794,overspending
5336,4445,overspending
4936,7825,overspending
4450,5501,overspending
4761,7584,overspending
5258,2048,reasonable consumption
5346,7915,overspending
5233,6068,overspending
4845,2665,general
3788,1951,general
4153,4550,overspending
5124,2182,reasonable consumption
4879,7430,overspending
4377,3142,overspending
4875,7080,overspending
3623,7919,overspending
3991,6469,overspending
5124,3279,general
5303,2123,reasonable consumption
4207,3850,overspending
3812,7607,overspending
4246,1632,reasonable consumption
5024,5380,overspending
3566,7403,overspending
3763,2645,overspending
3507,1439,reasonable consumption
5445,2452,reasonable consumption
4734,3359,overspending
4947,7986,overspending
5158,2571,reasonable consumption
4262,4283,overspending
4266,5752,overspending
4087,4006,overspending
4678,3254,general
4227,5941,overspending
4046,6168,overspending
4348,1508,reasonable consumption
4574,3982,overspending
5247,1630,reasonable consumption
5493,1888,reasonable consumption
5253,4442,overspending
4451,6333,overspending
4586,6827,overspending
4096,2709,general
4795,4385,overspending
4724,6942,overspending
5314,6704,overspending
4164,2101,general
5447,7033,overspending
3967,1415,reasonable consumption
5348,6269,overspending
4994,7649,overspending
5213,2954,general
4420,2524,general
4094,1476,reasonable consumption
4119,6162,overspending
3697,7863,overspending
3703,7350,overspending
3915,2424,general
4882,4066,overspending
5104,3461,general
4975,5546,overspending
5294,6862,overspending
3773,2368,general
4525,4792,overspending
5356,5774,overspending
3929,5169,overspending
3752,1693,reasonable consumption
4424,4340,overspending
4515,4948,overspending
3694,2737,overspending
4437,2814,general
3753,4266,overspending
4394,7739,overspending
5227,6717,overspending
4037,6807,overspending
4276,4411,overspending
4811,6967,overspending
4503,4048,overspending
4779,5522,overspending
4080,2793,general
4186,6352,overspending
3928,7980,overspending
4020,1539,reasonable consumption
3710,5939,overspending
5259,2233,reasonable consumption
4192,1566,reasonable consumption
3942,4330,overspending
4577,1466,reasonable consumption
4440,6958,overspending
4301,3733,overspending
5022,5422,overspending
5335,3242,general
4967,4687,overspending
5275,3089,general
3673,3703,overspending
3635,6083,overspending
4632,2193,reasonable consumption
4584,7654,overspending
3583,3030,overspending
4109,2140,general
5383,5840,overspending
4404,5895,overspending
5455,6074,overspending
5236,3719,overspending
3956,5360,overspending
5490,5614,overspending
4368,5038,overspending
4704,3133,general
3675,2505,general
4853,6075,overspending
3983,4222,overspending
3830,4208,overspending
5207,7691,overspending
4762,6257,overspending
3929,7710,overspending
5243,6091,overspending
4461,1771,reasonable consumption
3630,2214,general
3558,6590,overspending
5073,5219,overspending
3971,7172,overspending
5016,2332,reasonable consumption
3635,4090,overspending
4349,7524,overspending
3844,1763,reasonable consumption
4662,5432,overspending
4169,3365,overspending
4220,2205,general
4758,3945,overspending
3785,3746,overspending
4586,2769,general
4739,6273,overspending
5100,3316,general
5094,3105,general
3552,4072,overspending
5250,5357,overspending
3509,4292,overspending
3743,2581,general
4661,6656,overspending
4450,6262,overspending
4171,6616,overspending
4750,2364,reasonable consumption
4738,5793,overspending
5208,3777,overspending
5005,5339,overspending
4165,6824,overspending
4094,4935,overspending
4524,1207,reasonable consumption
4412,6151,overspending
4587,7603,overspending
4599,5880,overspending
4587,2941,general
4329,3121,overspending
3812,6154,overspending
4396,3031,general
3933,3007,overspending
4746,4040,overspending
5446,4209,overspending
5071,6415,overspending
4110,2023,reasonable consumption
4853,6666,overspending
4028,7143,overspending
5173,2558,reasonable consumption
4359,3826,overspending
4958,3802,overspending
5115,6982,overspending
3796,2586,general
4375,1283,reasonable consumption
3500,7311,overspending
5213,7753,overspending
3539,7521,overspending
5432,2050,reasonable consumption
4797,4985,overspending
5275,5187,overspending
4733,2938,general
4601,6519,overspending
4519,1972,reasonable consumption
5144,4202,overspending
4179,5248,overspending
3982,1884,reasonable consumption
4512,6457,overspending
4292,1948,reasonable consumption
3722,3604,overspending
5090,6330,overspending
5323,7728,overspending
4824,3534,overspending
4271,4202,overspending
4192,2874,general
5012,2484,reasonable consumption
4814,2565,general
4929,2230,reasonable consumption
3712,6394,overspending
4644,7967,overspending
4209,6556,overspending
4499,7033,overspending
4199,6739,overspending
4872,7940,overspending
3603,3942,overspending
4188,5371,overspending
4256,6306,overspending
4627,3093,general
4984,1525,reasonable consumption
4172,1782,reasonable consumption
4486,2333,general
5116,6679,overspending
5275,1646,reasonable consumption
4115,3754,overspending
4391,5101,overspending
4168,5555,overspending
4423,6613,overspending
4882,1962,reasonable consumption
4965,1360,reasonable consumption
4812,1877,reasonable consumption
3660,5344,overspending
3560,7832,overspending
3706,2223,general
3567,6931,overspending
4798,6148,overspending
4201,4587,overspending
4806,1748,reasonable consumption
5454,3220,general
5237,3547,general
4158,7369,overspending
3997,3163,overspending
5128,5562,overspending
4310,4971,overspending
3950,6655,overspending
4016,3325,overspending
5248,6082,overspending
4305,6900,overspending
5023,4595,overspending
3695,1445,reasonable consumption
4693,3934,overspending
4692,3317,overspending
3901,6569,overspending
5226,5906,overspending
3637,1947,general
3947,4447,overspending
4793,4318,overspending
4414,3677,overspending
5224,6733,overspending
4127,1320,reasonable consumption
4577,4641,overspending
4090,7010,overspending
4475,6386,overspending
4230,7867,overspending
4624,2318,general
5090,3893,overspending
4865,6456,overspending
4575,5097,overspending
3990,2370,general
4655,2591,general
5101,6221,overspending
3831,2158,general
4355,2281,general
5248,6431,overspending
5106,6636,overspending
4851,7466,overspending
4434,5825,overspending
4839,5156,overspending
4440,7973,overspending
5393,4444,overspending
4638,6653,overspending
4240,2782,general
5102,6494,overspending
3607,7645,overspending
4777,5105,overspending
5488,1424,reasonable consumption
5425,6155,overspending
3656,2384,general
4067,2440,general
3930,1981,general
3507,4299,overspending
4112,6587,overspending
3547,6780,overspending
5101,5822,overspending
5272,7669,overspending
3985,3042,overspending
4001,6014,overspending
3940,3907,overspending
5360,1525,reasonable consumption
5459,2332,reasonable consumption
3753,6702,overspending
4791,6979,overspending
4848,2581,general
3761,7912,overspending
4333,5524,overspending
5477,4792,overspending
5460,2871,general
5075,6221,overspending
5384,2340,reasonable consumption
5095,7653,overspending
5338,6246,overspending
4963,7770,overspending
3934,1914,reasonable consumption
3593,3210,overspending
4429,5014,overspending
3562,7392,overspending
5467,4698,overspending
4596,6004,overspending
3969,2421,general
3600,2036,general
5169,3610,general
3808,3878,overspending
4465,6996,overspending
3897,3833,overspending
4305,2547,general
4323,3390,overspending
5181,5111,overspending
3729,6692,overspending
5430,7081,overspending
3652,2624,overspending
5339,2162,reasonable consumption
3683,1414,reasonable consumption
4665,4521,overspending
4676,2041,reasonable consumption
3942,7139,overspending
5163,7130,overspending
4670,1335,reasonable consumption
3707,5609,overspending
5145,7020,overspending
4966,5381,overspending
5135,5681,overspending
5281,4535,overspending
3761,3497,overspending
4132,3510,overspending
5008,2795,general
4416,7638,overspending
3581,4686,overspending
5196,4110,overspending
4567,5779,overspending
4987,2106,reasonable consumption
3974,3023,overspending
3991,1828,reasonable consumption
5134,5192,overspending
4626,4006,overspending
3625,4797,overspending
4724,7090,overspending
5163,3844,overspending
3615,3972,overspending
5149,5371,overspending
4279,5248,overspending
3722,2520,general
3548,5329,overspending
4708,4892,overspending
4944,5783,overspending
4369,3103,overspending
4213,7529,overspending
5205,6109,overspending
4162,3701,overspending
4316,3232,overspending
4435,4754,overspending
3934,7600,overspending
4807,5352,overspending
4904,3351,general
4191,6343,overspending
5363,5615,overspending
4882,2257,reasonable consumption
5333,5023,overspending
4028,3744,overspending
4930,6196,overspending
4087,7458,overspending
5121,5081,overspending
3920,2796,overspending
5369,1422,reasonable consumption
3884,4774,overspending
5438,3486,general
3508,6486,overspending
3597,3558,overspending
4976,7331,overspending
3610,6576,overspending
3603,5612,overspending
4652,6336,overspending
3909,1331,reasonable consumption
5255,6805,overspending
